age,is_corporate,gender,total_balance,account_count,has_active_loan,has_overdue_loan,has_upcoming_payment,has_issuing_card,has_check_card,has_credit_card,has_deposit_sub,has_savings_sub,default_risk_level,recent_deposit_count,recent_withdrawal_count,recent_transfer_count,days_since_last_tx,max_password_fail_count,has_business_id,task_detail_type,savings_near_maturity,deposit_near_maturity,profile_id,scenario_kind
45,0,0,2878172,2,1,0,1,0,1,1,0,0,0,5,3,3,23,0,0,대출 상환,0,0,a927a92a44f3c1b3bfff7db9,original_cleaned
62,0,1,1422023,3,0,0,0,0,0,0,0,0,0,1,3,12,3,0,0,이체,0,0,0a5a8f5555fdd8710a8e8083,original_cleaned
61,1,1,73927932,3,1,1,0,0,0,0,0,0,3,3,6,2,3,0,0,부도관리,0,0,b7b27e2ff4dfbb0defd57e64,original_cleaned
29,0,0,5890850,1,0,0,0,0,0,0,0,0,0,0,11,1,8,0,0,출금,0,0,826fabde61a21174a6df6258,original_cleaned
46,0,0,15714456,2,0,0,0,0,0,0,0,0,0,0,0,0,121,3,0,통장 비밀번호 변경,0,0,0bb0ccf1538bba482461389c,original_cleaned
43,0,0,11915380,3,0,0,0,0,0,0,0,1,0,0,0,0,41,0,0,적금,1,0,7a20a1413f4cf85dfdd1e41f,original_cleaned
43,0,1,13833076,1,0,0,0,1,0,0,0,0,0,2,4,0,13,0,0,카드수령,0,0,2eed51146f82f03404843532,original_cleaned
36,0,1,413958,1,0,0,0,0,1,1,0,0,0,2,0,20,3,0,0,이체,0,0,ea0218ff301140cad4397f29,original_cleaned
59,0,0,7933181,1,0,0,0,0,0,0,0,0,0,3,2,0,30,0,0,연금신청,0,0,12f96a8f660aac6b9430ad16,original_cleaned
49,0,1,5097586,1,0,0,0,1,1,0,0,0,0,0,0,0,37,0,0,카드수령,0,0,bb6769f2521e23c9d4adcce8,original_cleaned
47,0,1,5895848,1,1,0,0,0,0,0,0,1,0,0,0,0,31,0,0,적금,1,0,83b778405b4d3624973f9c0c,original_cleaned
30,0,1,135130,1,0,0,0,0,1,0,0,0,0,4,2,2,27,0,0,신용대출,0,0,4f6f11075931f790b691a9b0,original_cleaned
61,0,1,22925993,1,0,0,0,0,0,1,0,0,0,4,5,2,29,0,0,소상공인 대출,0,0,747b46c77faf1da52231cddc,original_cleaned
49,0,1,4770460,3,0,0,0,0,1,0,0,1,0,4,4,2,17,0,0,적금,1,0,6ef81d8ff1296ae3d1a2994d,original_cleaned
40,0,0,131310695,3,1,0,0,0,1,0,0,0,0,2,3,0,9,0,0,주택담보대출,0,0,04a6357006b01d0f2430c58e,original_cleaned
25,0,0,6845049,1,0,0,0,0,0,0,0,0,0,3,3,2,20,0,0,체크카드 발급,0,0,8a60c1dcd9b2a0de14db5683,original_cleaned
48,0,1,1895017,1,1,0,0,0,1,0,0,0,0,0,0,0,144,4,0,통장 비밀번호 변경,0,0,7591552ae39c6aac8a28f498,original_cleaned
40,0,1,9564909,1,1,0,1,0,0,1,0,0,0,4,2,2,2,0,0,대출 상환,0,0,d57908e77eee61be70553825,original_cleaned
62,0,0,55263038,3,0,0,0,0,1,0,1,0,0,0,0,0,43,0,0,예금,0,1,d3eef59b5e1382431bbc3845,original_cleaned
50,0,1,23648226,3,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,소상공인 대출,0,0,9f9f55a474dca98e2a08e7bc,original_cleaned
37,0,0,74883088,1,1,0,0,0,1,0,0,0,0,2,8,2,12,0,0,주택담보대출,0,0,1758e13bead8ae24a115beca,original_cleaned
45,0,1,5049149,1,0,0,0,0,1,0,0,0,0,3,6,0,24,0,0,신용카드 발급,0,0,1d6948834542f43612ef4bc0,original_cleaned
40,0,0,59529,1,0,0,0,1,1,0,0,0,0,6,2,2,18,0,0,카드수령,0,0,9d65fbf82584d2b922e72932,original_cleaned
30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,0,0,입출금 계좌개설,0,0,08cd2e9fc0b526516ce3a050,original_cleaned
41,0,0,6971223,1,0,0,0,0,1,0,0,0,0,2,1,3,14,0,0,신용카드 발급,0,0,886e6877efa0932155715da6,original_cleaned
58,0,0,19307485,1,0,0,0,0,0,0,0,0,0,2,4,2,21,0,0,입출금 계좌개설,0,0,71deedee7145b22f84d27098,original_cleaned
33,1,1,8709201,3,0,0,0,0,1,0,0,0,0,2,3,0,1,0,0,법인카드 발급,0,0,bd39f04811fe911e5a22c265,original_cleaned
28,0,1,8340058,1,0,0,0,0,0,0,0,0,0,4,4,1,28,0,0,전세자금대출,0,0,723a87339627a13a1764b8ff,original_cleaned
51,0,0,11921,2,1,1,1,0,1,0,0,0,0,0,7,0,10,0,0,연체관리,0,0,df0fe592690d98f9e6b56fe5,original_cleaned
31,0,0,2680872,1,0,0,0,0,0,0,0,0,0,3,2,1,17,0,0,체크카드 발급,0,0,b123e5c306b23b1f04dcc2c4,original_cleaned
26,0,0,6333515,2,0,0,0,0,1,0,0,0,0,1,7,2,7,0,0,출금,0,0,8e585e680f72d23cf76acd11,original_cleaned
60,0,1,13766184,2,0,0,0,0,1,0,0,0,0,6,4,2,7,0,0,입금,0,0,5473a85ece17d5b2ef084257,original_cleaned
27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,0,0,입출금 계좌개설,0,0,51623dfbb48434d83d9045e5,original_cleaned
46,0,1,2486900,2,0,0,0,1,0,0,0,0,0,1,4,2,5,0,0,카드수령,0,0,a9c3107ad3c26d176bfdb3b6,original_cleaned
27,0,1,23068629,2,0,0,0,0,1,0,1,0,0,1,2,6,4,0,0,예금,0,1,35ff8ac6bdedd47be4abf5f1,original_cleaned
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,0,0,입출금 계좌개설,0,0,271887560e5cec441689e447,original_cleaned
75,0,0,31113656,1,0,0,0,0,1,0,0,0,0,2,3,6,21,0,0,연금신청,0,0,03e800254a83b294f1f6e6c1,original_cleaned
33,1,0,71529907,2,1,0,0,0,0,0,0,0,0,0,0,0,42,0,0,기업대출,0,0,efb63071e120f1ab867f5dbe,original_cleaned
74,0,1,11909338,1,0,0,0,0,0,0,0,0,0,3,4,0,30,0,0,연금신청,0,0,0e27188d8d4bf219f33e801b,original_cleaned
64,0,1,174349,1,1,0,0,0,1,0,0,0,0,0,0,0,42,0,0,소상공인 대출,0,0,1bb4fd00f19159dc4a04fdd0,original_cleaned
25,0,1,5056791,2,0,0,0,0,0,1,0,0,0,0,0,0,32,0,0,신용대출,0,0,52371fe51b809d8b5d3527a7,original_cleaned
27,0,1,6386094,2,0,0,0,0,0,0,0,1,0,0,0,0,34,0,0,적금,1,0,eb958df0280ce29e3c1d2038,original_cleaned
18,0,0,5880003,1,0,0,0,0,0,0,0,0,0,2,3,0,27,0,0,체크카드 발급,0,0,8af99f6a2f7e90d3e6caed4f,original_cleaned
39,0,0,24811403,1,1,0,0,0,0,0,0,0,0,3,4,3,26,0,0,소상공인 대출,0,0,1b20bd5e20b930296eb6e005,original_cleaned
31,0,0,15019449,3,0,0,0,0,0,0,0,1,0,1,2,2,26,0,0,적금,1,0,2a3681c3d9d874c165b2bf4f,original_cleaned
46,0,0,2130566,2,1,0,0,0,1,1,0,0,0,2,1,20,3,0,0,이체,0,0,4666ffdde419bbaaf5799af9,original_cleaned
23,0,1,1177605,1,0,0,0,0,0,0,0,0,0,2,7,1,17,0,0,체크카드 발급,0,0,d5011442b0e9af1c42f32d75,original_cleaned
45,0,1,15044925,1,1,0,0,0,0,0,0,0,0,0,0,0,35,0,0,주택담보대출,0,0,b5d1c9d531eeca1a5de3262b,original_cleaned
63,1,0,3157208,1,1,1,0,0,1,0,0,0,2,4,4,2,13,0,0,부도관리,0,0,762ddd2965ffe0388558ea7a,original_cleaned
38,0,0,8609283,2,0,0,0,0,1,0,0,0,0,1,1,3,9,0,0,신용대출,0,0,70ed663c37e23c6992ee269a,original_cleaned
34,0,0,24957938,1,0,0,0,1,1,0,0,0,0,3,1,1,30,0,0,카드수령,0,0,979c5c7af105585e2005edf4,original_cleaned
31,0,0,13667908,2,0,0,0,0,1,0,0,0,0,0,0,0,35,0,0,신용대출,0,0,e9951b683a903b0a3c0f4b6a,original_cleaned
45,0,0,10556313,3,0,0,0,0,1,0,0,0,0,0,0,0,44,0,0,주택담보대출,0,0,ee52572138fc119e60c03381,original_cleaned
31,0,0,5196417,1,0,0,0,0,0,0,0,0,0,3,8,0,14,0,0,출금,0,0,520f8bb6229609baaaf956cb,original_cleaned
32,0,1,2544958,2,0,0,0,0,0,0,0,0,0,3,0,2,27,0,0,체크카드 발급,0,0,e78dc3013d5513d1be0949ed,original_cleaned
46,0,0,95724725,2,0,0,0,0,1,0,0,0,0,0,0,0,33,0,0,신용카드 발급,0,0,a572ee6f2b8df57affbc8b6f,original_cleaned
54,0,0,3468889,2,0,0,0,0,0,0,0,0,0,2,6,0,4,0,0,금융상품가입,0,0,aec02b2c4be5ab1756140ba9,original_cleaned
63,0,0,11745710,3,1,0,0,0,1,1,0,0,0,0,0,0,31,0,0,카드수령,0,0,f6e0326493f6403d89ac2596,original_cleaned
53,0,1,17940092,1,0,0,0,0,1,0,0,0,0,8,1,1,12,0,0,입금,0,0,2621b968d78f41202c5823f9,original_cleaned
