age,is_corporate,total_balance,has_active_loan,recent_tx_count,product_id,target_product,profile_id
42,0,14145434,0,8,97,BankScope 정기예금,5c255d4246c8dbef99c95a3b
34,1,57808295,0,10,103,BankScope 기업 정기적금,92d208bde75119d6915e39ca
28,0,5544673,1,26,104,BankScope 신용대출,98a7eb3fd19e8dbc846f51cf
35,0,5480826,0,35,100,BankScope 자유적금,99f5278bf9fcaa6829e8850e
34,0,3002963,1,29,100,BankScope 자유적금,9d1fee51c91ffbe6611e1b41
34,0,2302846,0,21,101,BankScope 청년 희망적금,a2ec8dfdf4c42d12afc277a1
19,0,7059760,0,18,106,BankScope 전세자금대출,d6a0dff89feae092a44dcde3
19,0,4055173,0,31,104,BankScope 신용대출,29a4dfdc39445aeca3f294da
25,0,1734993,0,21,101,BankScope 청년 희망적금,4cefc42301d2f89164c1d9bb
39,1,41313138,0,6,103,BankScope 기업 정기적금,eccdc2511989d7c3da9713e5
36,0,15103772,1,14,105,BankScope 주택담보대출,4ba3a643e34d8038be4cedf2
27,0,10388506,0,35,100,BankScope 자유적금,29f71ec686de1558acfdad55
28,0,5228321,0,35,100,BankScope 자유적금,2a51c4f566c87a64e72ae69f
37,0,13290149,0,42,100,BankScope 자유적금,f0e0bbd347711ea85621717e
30,0,15155811,1,13,102,BankScope 주택 마련 적금,15b07c54653e1044d9a0e33f
66,0,67037525,0,5,98,BankScope 시니어 우대예금,8d751781cf08549656a2bee4
46,0,62136741,0,9,97,BankScope 정기예금,b692d8a4a1fef3f70a6b32f1
34,0,13893545,0,10,102,BankScope 주택 마련 적금,d861476788406fed65051047
31,0,9824772,0,46,100,BankScope 자유적금,1d38fe7ba3099e5191443b3f
35,0,16878278,1,12,102,BankScope 주택 마련 적금,593f7128aab2d762eb2f4688
50,0,61553756,0,10,97,BankScope 정기예금,0e0d3805b8333adf2ecb93a4
63,0,112558001,0,5,98,BankScope 시니어 우대예금,cfe4ae9831f593e1b21a1c65
46,0,17763946,0,8,105,BankScope 주택담보대출,aae159ee0f5e2a0891a3c78d
30,0,5504464,0,36,100,BankScope 자유적금,1482bccceff2fff6f65fc5b9
66,0,53707534,0,3,98,BankScope 시니어 우대예금,48d8f900abdf4ad8583cf5c4
26,0,3280487,0,23,101,BankScope 청년 희망적금,b9ab21cf4d9f9e2f3d659681
35,0,6854214,0,31,100,BankScope 자유적금,0036ea3de0a96b4a43d9a150
22,0,3714436,0,17,101,BankScope 청년 희망적금,62a1d8eab71ddf437f6b6fcd
32,1,47590533,0,10,103,BankScope 기업 정기적금,1833bc26e1f452dd9f0799ac
35,1,64734792,0,5,103,BankScope 기업 정기적금,4004deb2d9c94d27ad1282a8
37,0,25619024,1,9,105,BankScope 주택담보대출,30f382fd98ec44af4d2280fd
33,0,18305691,1,25,102,BankScope 주택 마련 적금,857ed732234dde3f358b0d1e
19,0,2665852,0,21,101,BankScope 청년 희망적금,4b7cd98673196947f15c7655
56,0,81774386,0,6,98,BankScope 시니어 우대예금,e6e773c42987bf29e1f744b8
33,0,9340007,0,34,100,BankScope 자유적금,3a49c88aa8267e19003cc67c
66,0,36707292,0,5,98,BankScope 시니어 우대예금,da1612c071de48b35b2441dc
34,0,3377735,1,21,101,BankScope 청년 희망적금,b5ef416e02472cf43ebf1521
41,1,230268995,0,7,99,BankScope 기업 정기예금,be60211aac299dd6d3cfed79
35,0,8055967,0,17,102,BankScope 주택 마련 적금,35888b212c786e9729ff8129
23,0,10940143,0,12,102,BankScope 주택 마련 적금,5f2ceeb58a91139e255ca43b
55,0,65685979,0,2,98,BankScope 시니어 우대예금,d6fdef273fc6db8ce6447295
30,0,5680189,0,34,100,BankScope 자유적금,60ec01a0207576378bd57da6
45,1,64596523,0,6,103,BankScope 기업 정기적금,5b7d577c0fa15076015d2087
